threshold,precision,recall,f1,fpr,tn,fp,fn,tp
0.05,0.08771929824561403,0.5,0.14925373134328357,0.32298136645962733,109,52,5,5
0.1,0.11428571428571428,0.4,0.17777777777777778,0.19254658385093168,130,31,6,4
0.15,0.09090909090909091,0.2,0.125,0.12422360248447205,141,20,8,2
0.2,0.2,0.2,0.2,0.049689440993788817,153,8,8,2
0.25,0.125,0.1,0.1111111111111111,0.043478260869565216,154,7,9,1
0.3,0.16666666666666666,0.1,0.125,0.031055900621118012,156,5,9,1
0.35,0.16666666666666666,0.1,0.125,0.031055900621118012,156,5,9,1
0.39999999999999997,0.25,0.1,0.14285714285714285,0.018633540372670808,158,3,9,1
0.44999999999999996,0.3333333333333333,0.1,0.15384615384615385,0.012422360248447204,159,2,9,1
0.49999999999999994,0.5,0.1,0.16666666666666666,0.006211180124223602,160,1,9,1
0.5499999999999999,0.5,0.1,0.16666666666666666,0.006211180124223602,160,1,9,1
0.6,0.0,0.0,0.0,0.006211180124223602,160,1,10,0
0.65,0.0,0.0,0.0,0.0,161,0,10,0
0.7,0.0,0.0,0.0,0.0,161,0,10,0
0.75,0.0,0.0,0.0,0.0,161,0,10,0
0.7999999999999999,0.0,0.0,0.0,0.0,161,0,10,0
0.85,0.0,0.0,0.0,0.0,161,0,10,0
0.9,0.0,0.0,0.0,0.0,161,0,10,0
0.95,0.0,0.0,0.0,0.0,161,0,10,0
